OSEBuildingID,proportionparking,Proportionbat,old_built,PropertyGFATotal,NumberofBuildings,NumberofFloors,mean_GFA_per_floor,prop_gfa_largest_property,diff_prop_gfa_largest_property_per_type,SteamUse(kBtu)_pct,Electricity(kBtu)_pct,NaturalGas(kBtu)_pct,Longitude,Latitude,SiteEnergyUseWN(kBtu),SiteEUIWN(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore,BuildingType_NonResidential,BuildingType_Nonresidential COS,BuildingType_infrequent_sklearn,PrimaryPropertyType_Large Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Other,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility,PrimaryPropertyType_infrequent_sklearn,Neighborhood_lcaps_downtown,Neighborhood_lcaps_east,Neighborhood_lcaps_greater duwamish,Neighborhood_lcaps_lake union,Neighborhood_lcaps_magnolia / queen anne,Neighborhood_lcaps_northeast,Neighborhood_lcaps_northwest,Neighborhood_lcaps_infrequent_sklearn,LargestPropertyUseType_Non-Refrigerated Warehouse,LargestPropertyUseType_Office,LargestPropertyUseType_Other,LargestPropertyUseType_Retail Store,LargestPropertyUseType_Worship Facility,LargestPropertyUseType_infrequent_sklearn,BuildingType,PrimaryPropertyType,Neighborhood_lcaps,LargestPropertyUseType,BuildingType_cat,PrimaryPropertyType_cat,Neighborhood_lcaps_cat,LargestPropertyUseType_cat
100,0.0,1.0,6,316306,1.0,5,52717.666666666664,0.8277617244061131,0.04135524793556311,0.0,0.9329614223070651,0.06703857769293485,-122.33646,47.62424,13909270.0,48.40000153,138.85,0.44,96.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Large Office,lake union,Office,0,5,6,21
110,0.0,1.0,54,52000,1.0,2,17333.333333333332,1.0,0.12924274420091453,0.48177506452022634,0.5182249354797737,0.0,-122.35077,47.62395,2682242.75,51.59999847,101.83,1.96,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Nonresidential COS,Other,magnolia / queen anne,Other,1,8,7,22
111,0.0,1.0,88,60696,1.0,1,30348.0,1.7793594306049823,0.9086021748058968,0.0,1.0,0.0,-122.35077,47.62395,875943.3125,8.100000381,6.11,0.1,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Nonresidential COS,Other,magnolia / queen anne,Other,1,8,7,22
113,0.035507246376811595,0.9644927536231884,30,66240,1.0,2,21296.0,0.6929347826086957,-0.09347169386185428,0.0,1.0,0.0,-122.34837,47.62391,4192107.75,75.40000153,29.04,0.44,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,Office,0,13,7,21
115,0.3402306693083857,0.6597693306916143,46,76213,1.0,4,10056.6,0.6369779433954837,-0.1494285330750662,0.0,0.8470979330374557,0.1529020669625443,-122.35842,47.62053,3647345.75,71.59999847,48.76,0.64,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,Office,0,13,7,21
116,0.3811164998452172,0.6188835001547828,14,96910,1.0,6,8568.0,0.6188835001547828,-0.26657451768981044,0.0,0.5114878687493077,0.4885121312506922,-122.35708,47.62291,5274523.0,87.90000153,152.14,1.57,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,magnolia / queen anne,Hotel,0,2,7,10
117,0.0,1.0,54,50017,2.0,4,10003.4,1.0,0.11454198215540679,0.0,0.3905883216568254,0.6094116783431747,-122.31756,47.65772,5528580.5,110.5,191.2,3.82,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,Hotel,northeast,Hotel,0,2,9,10
119,0.0,1.0,93,67743,1.0,3,16935.75,1.0,-0.015007101684008761,0.0,0.5054201570982277,0.49457984290177226,-122.30828,47.62548,3036464.0,44.79999924,78.85,1.16,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,K-12 School,east,K-12 School,0,3,4,11
120,0.0,1.0,108,194104,1.0,6,27729.14285714286,1.0,-0.015007101684008761,0.0,0.30352748510331934,0.6964725148966806,-122.30429,47.62644,7204080.0,37.09999847,243.23,1.25,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NonResidential,K-12 School,east,K-12 School,0,3,4,11
121,0.35955869781662025,0.6404413021833798,13,99433,1.0,3,15920.25,0.6404413021833798,-0.14596517428717015,0.0,1.0,0.0,-122.30125,47.58408,4980737.5,78.19999695,34.14,0.34,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,NonResidential,Small- and Mid-Sized Office,southeast,Office,0,13,11,21
